GeneSymbol	FPKM
0610007C21Rik	245.1
0610007L01Rik	220.6
0610007P08Rik	126.3
0610007P14Rik	241
0610007P22Rik	90.5
0610008F07Rik	0
0610009B22Rik	35.9
0610009D07Rik	348.6
0610009O20Rik	173.3
0610010B08Rik	0.6
0610010F05Rik	46.1
0610010K14Rik	155.1
0610010O12Rik	4.5
0610011F06Rik	192.5
0610011L14Rik	144.7
0610012G03Rik	61.9
0610012H03Rik	0
0610030E20Rik	244.2
0610031J06Rik	270.5
0610037L13Rik	153
0610037P05Rik	197
0610038B21Rik	1.2
0610039K10Rik	366.9
0610040B10Rik	26.4
0610040J01Rik	5.3
0910001L09Rik	281.8
1100001G20Rik	30.6
1110001A16Rik	52.5
1110001J03Rik	93.1
1110002B05Rik	194.4
1110002L01Rik	28.7
1110002N22Rik	56.2
1110003E01Rik	844.3
1110004E09Rik	27.6
1110004F10Rik	190.6
1110005A03Rik	304.9
1110006O24Rik	5.8
1110007A13Rik	404.8
1110007C09Rik	72.1
1110008F13Rik	99.4
1110008J03Rik	23.6
1110008L16Rik	69
1110008P14Rik	180.6
1110012D08Rik	39.7
1110012J17Rik	0.3
1110012L19Rik	51.5
1110014N23Rik	124
1110017D15Rik	0
1110017F19Rik	138.2
1110018G07Rik	341.9
1110018J18Rik	152.4
1110020A21Rik	3.1
1110020G09Rik	55.2
1110021J02Rik	315.2
1110021L09Rik	2.8
1110028C15Rik	250
1110031I02Rik	33.7
1110032A03Rik	25.5
1110032A04Rik	0.5
1110032F04Rik	0.4
1110034A24Rik	68.6
1110034B05Rik	72
1110034G24Rik	63.7
1110037F02Rik	286.6
1110038B12Rik	140.1
1110038D17Rik	430.2
1110038F14Rik	90.8
1110049F12Rik	159
1110051M20Rik	66.3
1110054O05Rik	181.2
1110057K04Rik	165.6
1110058L19Rik	88.3
1110059E24Rik	361.2
1110059G10Rik	36.1
1110059M19Rik	0
1110065P20Rik	12.9
1110067D22Rik	9.1
1190002H23Rik	19.5
1190002N15Rik	48.3
1190003J15Rik	0
1190003K10Rik	0
1190005F20Rik	234.4
1190005I06Rik	0
1190007F08Rik	6
1190007I07Rik	76.3
1200009I06Rik	1.2
1200011I18Rik	137.6
1200011M11Rik	97.2
1200014J11Rik	136.7
1200016B10Rik	186.3
1300001I01Rik	262.9
1300002K09Rik	4.7
1300010F03Rik	100.9
1300014I06Rik	700.7
1300017J02Rik	1.6
1300018I17Rik	112.1
1300018J18Rik	105.5
1500001M20Rik	84.9
1500002O20Rik	194.3
1500003O03Rik	251.1
1500004A13Rik	28.5
1500009L16Rik	0
1500010J02Rik	98.7
1500011B03Rik	88.4
1500011H22Rik	65.4
1500011K16Rik	54
1500012F01Rik	406.2
1500015A07Rik	31.1
1500015O10Rik	9
1500017E21Rik	0
1500031L02Rik	35.2
1500032L24Rik	384.4
1520402A15Rik	29.4
1600002H07Rik	52.9
1600002K03Rik	105.5
1600012F09Rik	34.3
1600012H06Rik	137.6
1600014C10Rik	135.5
1600014K23Rik	0
1600015I10Rik	0.4
1600016N20Rik	56.2
1600021P15Rik	0.3
1600027N09Rik	241
1600029D21Rik	1
1600029I14Rik	9.3
1600029O15Rik	6.4
1700001C02Rik	0
1700001C19Rik	0
1700001F09Rik	0
1700001G17Rik	7
1700001J03Rik	2.3
1700001J11Rik	6.2
1700001K19Rik	20.6
1700001K23Rik	118.9
1700001L05Rik	12.8
1700001L19Rik	0
1700001O22Rik	0.6
1700001P01Rik	8.6
1700003E16Rik	0.9
1700003F12Rik	3.7
1700003G18Rik	1.4
1700003H04Rik	0
1700003M02Rik	0
1700006A11Rik	0.5
1700006E09Rik	0
1700007B14Rik	0
1700007E06Rik	0
1700007G11Rik	0
1700007I08Rik	9.5
1700007K09Rik	1.3
1700007K13Rik	0
1700008A04Rik	0
1700008F21Rik	0
1700008I05Rik	0
1700008J07Rik	45.9
1700008O03Rik	5.9
1700008P02Rik	0
1700008P20Rik	0
1700009J07Rik	2.9
1700009N14Rik	0
1700009P17Rik	9.5
1700010B08Rik	0
1700010D01Rik	0
1700010I14Rik	31.4
1700010M22Rik	0
1700011A15Rik	0
1700011E24Rik	3.2
1700011F03Rik	0
1700011F14Rik	0
1700011H14Rik	0.8
1700011I03Rik	2.8
1700011L22Rik	0
1700012A03Rik	0
1700012A16Rik	29.2
1700012B07Rik	0.6
1700012B09Rik	0
1700012B15Rik	143.9
1700012D14Rik	52.5
1700012L04Rik	0
1700012P22Rik	0
1700013B16Rik	0.2
1700013D24Rik	0
1700013F07Rik	0
1700013G24Rik	0
1700013H16Rik	0
1700013N18Rik	41.9
1700014N06Rik	0
1700015E13Rik	2.5
1700015G11Rik	0
1700016C15Rik	1.2
1700016D06Rik	7.8
1700016H13Rik	0
1700016K19Rik	1.9
1700016M24Rik	0
1700017B05Rik	125
1700017D01Rik	0
1700017N19Rik	0
1700018A04Rik	0
1700018A14Rik	5
1700018B08Rik	0
1700018B24Rik	0.3
1700018C11Rik	0
1700018F24Rik	0
1700018L02Rik	2.9
1700018L24Rik	0
1700019A02Rik	7.1
1700019B03Rik	1.1
1700019D03Rik	2.1
1700019E19Rik	3.3
1700019G17Rik	33.7
1700019L03Rik	1.6
1700019M22Rik	1.5
1700019N12Rik	8
1700019N19Rik	2.9
1700019O17Rik	0
1700020A23Rik	1.3
1700020C07Rik	9.1
1700020D05Rik	56.9
1700020I14Rik	616.4
1700020L24Rik	1
1700020N01Rik	0
1700020N18Rik	1.6
1700020O03Rik	227
1700021C14Rik	46.4
1700021F05Rik	46.7
1700021F07Rik	0
1700021K19Rik	762.5
1700022A21Rik	0
1700022I11Rik	2.4
1700022P22Rik	8.3
1700023A16Rik	0
1700023E05Rik	0
1700023I07Rik	1.4
1700024G13Rik	0
1700024P04Rik	0
1700024P16Rik	0.3
1700025C18Rik	1.3
1700025E21Rik	0
1700025F22Rik	1.4
1700025G04Rik	4
1700025K23Rik	7.3
1700026D08Rik	0
1700026D11Rik	0
1700026J04Rik	1.5
1700026L06Rik	16
1700027A23Rik	13.8
1700027D21Rik	0
1700028B04Rik	6.5
1700028J19Rik	3.8
1700028K03Rik	24.5
1700028M03Rik	0
1700028P14Rik	0
1700029F09Rik	131.9
1700029F12Rik	0
1700029G01Rik	4.8
1700029H14Rik	6.3
