GeneSymbol	FPKM
0610007C21Rik	317.9
0610007L01Rik	283
0610007P08Rik	97.5
0610007P14Rik	297.3
0610007P22Rik	113
0610008F07Rik	0
0610009B22Rik	114.2
0610009D07Rik	812.1
0610009O20Rik	182.3
0610010B08Rik	0.9
0610010F05Rik	83.3
0610010K14Rik	233.2
0610010O12Rik	4.6
0610011F06Rik	272.3
0610011L14Rik	163.8
0610012G03Rik	118.8
0610012H03Rik	0
0610030E20Rik	157.3
0610031J06Rik	222.6
0610037L13Rik	166.8
0610037P05Rik	250.1
0610038B21Rik	3.1
0610039K10Rik	167.4
0610040B10Rik	20
0610040J01Rik	2.5
0910001L09Rik	243.3
1100001G20Rik	335.6
1110001A16Rik	55.1
1110001J03Rik	218.1
1110002B05Rik	324.5
1110002L01Rik	33.5
1110002N22Rik	87.9
1110003E01Rik	695.6
1110004E09Rik	121.2
1110004F10Rik	408.9
1110005A03Rik	428.3
1110006O24Rik	3.5
1110007A13Rik	557.8
1110007C09Rik	45.5
1110008F13Rik	244.5
1110008J03Rik	34.2
1110008L16Rik	115.8
1110008P14Rik	112.4
1110012D08Rik	10.2
1110012J17Rik	0.3
1110012L19Rik	85.2
1110014N23Rik	114
1110017D15Rik	0
1110017F19Rik	29.9
1110018G07Rik	403.5
1110018J18Rik	207
1110020A21Rik	7.9
1110020G09Rik	101.1
1110021J02Rik	190.2
1110021L09Rik	6.2
1110028C15Rik	130.4
1110031I02Rik	67
1110032A03Rik	23.2
1110032A04Rik	0
1110032F04Rik	3.4
1110034A24Rik	133.2
1110034B05Rik	94.4
1110034G24Rik	67.2
1110037F02Rik	266.9
1110038B12Rik	381.5
1110038D17Rik	524.2
1110038F14Rik	145.3
1110049F12Rik	272.6
1110051M20Rik	54.8
1110054O05Rik	279.3
1110057K04Rik	187.9
1110058L19Rik	136.1
1110059E24Rik	374.3
1110059G10Rik	45.8
1110059M19Rik	0
1110065P20Rik	24.9
1110067D22Rik	42.9
1190002H23Rik	52.6
1190002N15Rik	69.6
1190003J15Rik	0
1190003K10Rik	0
1190005F20Rik	210.7
1190005I06Rik	1.9
1190007F08Rik	4.3
1190007I07Rik	133.1
1200009I06Rik	4.2
1200011I18Rik	168.4
1200011M11Rik	138.8
1200014J11Rik	146.7
1200016B10Rik	158.3
1300001I01Rik	388.9
1300002K09Rik	2.8
1300010F03Rik	64.4
1300014I06Rik	194.3
1300017J02Rik	5.7
1300018I17Rik	47.5
1300018J18Rik	91
1500001M20Rik	148.7
1500002O20Rik	209.4
1500003O03Rik	314.7
1500004A13Rik	14
1500009L16Rik	0.6
1500010J02Rik	134.1
1500011B03Rik	88.9
1500011H22Rik	155.1
1500011K16Rik	105.4
1500012F01Rik	1465.8
1500015A07Rik	25.8
1500015O10Rik	5.3
1500017E21Rik	0
1500031L02Rik	52.6
1500032L24Rik	819.8
1520402A15Rik	11.9
1600002H07Rik	73.3
1600002K03Rik	165.4
1600012F09Rik	54.4
1600012H06Rik	107.2
1600014C10Rik	160.5
1600014K23Rik	0
1600015I10Rik	0
1600016N20Rik	14.2
1600021P15Rik	0.2
1600027N09Rik	269.4
1600029D21Rik	0
1600029I14Rik	3.9
1600029O15Rik	12.4
1700001C02Rik	0
1700001C19Rik	0.8
1700001F09Rik	0
1700001G17Rik	7.6
1700001J03Rik	0.9
1700001J11Rik	3.6
1700001K19Rik	5
1700001K23Rik	31.9
1700001L05Rik	9.6
1700001L19Rik	0
1700001O22Rik	4.7
1700001P01Rik	13
1700003E16Rik	0.3
1700003F12Rik	6.5
1700003G18Rik	1.1
1700003H04Rik	0
1700003M02Rik	0.4
1700006A11Rik	0
1700006E09Rik	0
1700007B14Rik	0.6
1700007E06Rik	0
1700007G11Rik	0
1700007I08Rik	6.3
1700007K09Rik	0
1700007K13Rik	0
1700008A04Rik	0
1700008F21Rik	0
1700008I05Rik	0
1700008J07Rik	24.8
1700008O03Rik	3
1700008P02Rik	0
1700008P20Rik	0
1700009J07Rik	3
