GeneSymbol	FPKM
0610007C21Rik	273.5
0610007L01Rik	231
0610007P08Rik	162.9
0610007P14Rik	309.3
0610007P22Rik	140.5
0610008F07Rik	0
0610009B22Rik	56.1
0610009D07Rik	583.4
0610009O20Rik	145.5
0610010B08Rik	2.4
0610010F05Rik	143
0610010K14Rik	189.2
0610010O12Rik	2
0610011F06Rik	199.2
0610011L14Rik	119.2
0610012G03Rik	109.8
0610012H03Rik	0
0610030E20Rik	180.6
0610031J06Rik	215
0610037L13Rik	106.5
0610037P05Rik	179.8
0610038B21Rik	9.5
0610039K10Rik	258.7
0610040B10Rik	13.7
0610040J01Rik	41.3
0910001L09Rik	191.1
1100001G20Rik	16.5
1110001A16Rik	63.8
1110001J03Rik	117.6
1110002B05Rik	334.4
1110002L01Rik	37.6
1110002N22Rik	96.5
1110003E01Rik	342.5
1110004E09Rik	114
1110004F10Rik	305.7
1110005A03Rik	373.7
1110006O24Rik	11
1110007A13Rik	494.4
1110007C09Rik	46.5
1110008F13Rik	345.7
1110008J03Rik	37.6
1110008L16Rik	106
1110008P14Rik	69.7
1110012D08Rik	6.2
1110012J17Rik	0.2
1110012L19Rik	45.6
1110014N23Rik	125
1110017D15Rik	1.1
1110017F19Rik	58.1
1110018G07Rik	289.8
1110018J18Rik	165
1110020A21Rik	2.8
1110020G09Rik	109.9
1110021J02Rik	197.8
1110021L09Rik	0.9
1110028C15Rik	193.8
1110031I02Rik	50.4
1110032A03Rik	14.2
1110032A04Rik	0
1110032F04Rik	15
1110034A24Rik	91.4
1110034B05Rik	114.4
1110034G24Rik	32.8
1110037F02Rik	253.4
1110038B12Rik	1090.5
1110038D17Rik	213.8
1110038F14Rik	101.7
1110049F12Rik	254
1110051M20Rik	55.4
1110054O05Rik	214.1
1110057K04Rik	186.8
1110058L19Rik	81.4
1110059E24Rik	216.2
1110059G10Rik	32.3
1110059M19Rik	0
1110065P20Rik	61.7
1110067D22Rik	88.6
1190002H23Rik	15.8
1190002N15Rik	47.6
1190003J15Rik	0
1190003K10Rik	0
1190005F20Rik	143.9
1190005I06Rik	6.6
1190007F08Rik	6
1190007I07Rik	164.4
1200009I06Rik	6.2
1200011I18Rik	115.5
1200011M11Rik	109.7
1200014J11Rik	125.7
1200016B10Rik	115.1
1300001I01Rik	667.8
1300002K09Rik	7.4
1300010F03Rik	120.4
1300014I06Rik	418.7
1300017J02Rik	1.1
1300018I17Rik	52.1
1300018J18Rik	85.8
1500001M20Rik	163.4
1500002O20Rik	152.3
1500003O03Rik	141.8
1500004A13Rik	58.1
1500009L16Rik	1
1500010J02Rik	143.2
1500011B03Rik	74.2
1500011H22Rik	168
1500011K16Rik	138.4
1500012F01Rik	1392
1500015A07Rik	28.5
1500015O10Rik	13.6
1500017E21Rik	0
1500031L02Rik	35.4
1500032L24Rik	558.6
1520402A15Rik	14.4
1600002H07Rik	83.8
1600002K03Rik	98.2
1600012F09Rik	59.3
1600012H06Rik	86.2
1600014C10Rik	73.3
1600014K23Rik	0
1600015I10Rik	0
1600016N20Rik	3
1600021P15Rik	0.8
1600027N09Rik	236.7
1600029D21Rik	1.3
1600029I14Rik	9.8
1600029O15Rik	6
1700001C02Rik	0
1700001C19Rik	0
1700001F09Rik	0
1700001G17Rik	12.2
1700001J03Rik	0
1700001J11Rik	4.9
1700001K19Rik	20.2
1700001K23Rik	37.1
1700001L05Rik	9.8
1700001L19Rik	0
1700001O22Rik	1.7
1700001P01Rik	21.3
1700003E16Rik	0
1700003F12Rik	28
1700003G18Rik	1.9
1700003H04Rik	0
