GeneSymbol	FPKM
0610007P14Rik	54.251
0610008F07Rik	0.168
0610009B22Rik	25.23
0610009D07Rik	44.186
0610009O20Rik	10.197
0610010B08Rik	5.121
0610010F05Rik	25.638
0610010K14Rik	28.72
0610011F06Rik	45.022
0610012G03Rik	26.869
0610012H03Rik	0.587
0610030E20Rik	15.885
0610031J06Rik	39.192
0610037L13Rik	30.188
0610038B21Rik	3.907
0610039K10Rik	5.242
0610040B10Rik	3.991
0610040J01Rik	0.458
1100001G20Rik	0.279
1110001A16Rik	30.457
1110001J03Rik	47.231
1110002L01Rik	28.037
1110004E09Rik	33.515
1110004F10Rik	58.964
1110006O24Rik	2.157
1110007C09Rik	22.188
1110008F13Rik	19.947
1110008J03Rik	39.75
1110008L16Rik	17.683
1110008P14Rik	48.906
1110012L19Rik	30.249
1110017D15Rik	0.509
1110018G07Rik	19.43
1110020A21Rik	0.77
1110032A03Rik	5.818
1110032F04Rik	0.375
1110034G24Rik	3.81
1110037F02Rik	31.967
1110038B12Rik	29.849
1110038F14Rik	27.836
1110051M20Rik	15.072
1110057K04Rik	12.655
1110058L19Rik	34.02
1110059E24Rik	43.054
1110059G10Rik	7.754
1110059M19Rik	0.051
1110065P20Rik	60.388
1190002N15Rik	31.756
1190003J15Rik	0.169
1190003K10Rik	0.321
1190005I06Rik	25.056
1190007I07Rik	11.776
1200011I18Rik	40.605
1200014J11Rik	8.303
1300002K09Rik	0.107
1300017J02Rik	0.117
1300018J18Rik	37.102
1500004A13Rik	3.242
1500009C09Rik	0
1500009L16Rik	0.556
1500011B03Rik	14.685
1500011K16Rik	22.489
1500012F01Rik	69.18
1500015A07Rik	7.727
1500015O10Rik	0.837
1500017E21Rik	2.547
1500032L24Rik	62.921
1600002H07Rik	22.736
1600002K03Rik	23.906
1600012H06Rik	8.097
1600014C10Rik	12.218
1600014K23Rik	0.14
1600015I10Rik	0.142
1600016N20Rik	0.27
1600029D21Rik	2.281
1600029I14Rik	1.624
1600029O15Rik	4.383
1700001C02Rik	0.186
1700001C19Rik	0.577
1700001F09Rik	0.194
1700001G17Rik	3.642
1700001J03Rik	0.275
1700001J11Rik	3.213
1700001K19Rik	3.388
1700001K23Rik	0.961
1700001L05Rik	0.45
1700001L19Rik	0.384
1700001O22Rik	1.079
1700001P01Rik	10.649
1700003E16Rik	0.543
1700003F12Rik	1.293
1700003G18Rik	0.191
1700003H04Rik	0.054
1700003M02Rik	0.118
1700006A11Rik	0.089
1700006E09Rik	0.097
1700007B14Rik	0.098
1700007G11Rik	0.153
1700007K09Rik	1.343
1700007K13Rik	0.268
1700008A04Rik	0.095
1700008F21Rik	0.381
1700008I05Rik	0.132
1700008J07Rik	7.477
1700008O03Rik	0.376
1700008P02Rik	0.074
1700009J07Rik	0.067
1700009N14Rik	1.162
1700009P17Rik	0.055
1700010B08Rik	0.637
1700010D01Rik	0.567
1700010I14Rik	0.166
1700011A15Rik	1.048
1700011E24Rik	0.379
1700011H14Rik	0.097
1700011I03Rik	0.382
1700011L22Rik	0.437
1700012A03Rik	0.074
1700012B07Rik	0.141
1700012B09Rik	0.294
1700012B15Rik	3.946
1700012D14Rik	0.87
1700012L04Rik	0.226
1700012P22Rik	0.059
1700013D24Rik	0
1700013F07Rik	0.722
1700013G24Rik	0
1700013H16Rik	0.24
1700015E13Rik	0.414
1700015F17Rik	0.432
1700016C15Rik	1.449
1700016D06Rik	1.625
1700016H13Rik	0.375
1700016K19Rik	0.199
1700017B05Rik	11.666
1700017D01Rik	0.99
1700017N19Rik	0.127
1700018A04Rik	0.304
1700018A14Rik	0.16
1700018B08Rik	0.386
1700018B24Rik	0.029
1700018C11Rik	0.194
1700018F24Rik	0.105
1700018L02Rik	9.206
1700019A02Rik	0.366
1700019B03Rik	0.213
1700019D03Rik	0.124
1700019G17Rik	0.228
1700019L03Rik	14.994
1700019M22Rik	0
1700019N19Rik	0.061
1700019O17Rik	0.196
1700020A23Rik	1.254
1700020D05Rik	1.598
1700020I14Rik	33.384
1700020L24Rik	3.822
1700020N01Rik	0.324
1700020N18Rik	0.271
1700021F05Rik	46.261
1700021F07Rik	0.089
1700021K19Rik	16.543
1700022A21Rik	0.157
1700022I11Rik	1.251
1700022P22Rik	0.137
1700023A16Rik	0.234
1700023E05Rik	0.121
1700024G13Rik	0
1700024P04Rik	0.243
1700024P16Rik	6.477
1700025C18Rik	0.253
1700025E21Rik	0.651
1700025F22Rik	0.095
1700025G04Rik	5.415
1700026D08Rik	0.196
1700026D11Rik	0.083
1700026L06Rik	0.502
1700028B04Rik	0.443
1700028J19Rik	1.039
1700028K03Rik	3.842
1700028M03Rik	0.144
1700028P14Rik	0
1700029F12Rik	0.381
1700029H14Rik	0.321
1700029I15Rik	6.797
1700029J07Rik	5.481
1700029M20Rik	0.114
1700029P11Rik	0.871
