GeneSymbol	FPKM
0610007P14Rik	10.419
0610008F07Rik	0.163
0610009B22Rik	4.244
0610009D07Rik	13.668
0610009O20Rik	5.909
0610010B08Rik	6.751
0610010F05Rik	9.526
0610010K14Rik	10.453
0610011F06Rik	6.284
0610012G03Rik	6.197
0610012H03Rik	0.3
0610030E20Rik	8.163
0610031J06Rik	10.368
0610037L13Rik	9.538
0610038B21Rik	4.294
0610039K10Rik	1.661
0610040B10Rik	1.794
0610040J01Rik	0.557
1100001G20Rik	0.246
1110001A16Rik	9.372
1110001J03Rik	6.592
1110002L01Rik	7.704
1110004E09Rik	8.525
1110004F10Rik	17.852
1110006O24Rik	0.888
1110007C09Rik	7.095
1110008F13Rik	15.671
1110008J03Rik	3.427
1110008L16Rik	5.676
1110008P14Rik	9.177
1110012L19Rik	4.142
1110017D15Rik	0.686
1110018G07Rik	5.844
1110020A21Rik	0.625
1110032A03Rik	2.724
1110032F04Rik	0.459
1110034G24Rik	0.992
1110037F02Rik	12.998
1110038B12Rik	52.878
1110038F14Rik	10.38
1110051M20Rik	9.775
1110057K04Rik	9.237
1110058L19Rik	3.767
1110059E24Rik	9.651
1110059G10Rik	1.886
1110059M19Rik	0.097
1110065P20Rik	10.503
1190002N15Rik	3.862
1190003J15Rik	0.372
1190003K10Rik	0.294
1190005I06Rik	1.76
1190007I07Rik	3.584
1200011I18Rik	7.055
1200014J11Rik	6.584
1300002K09Rik	0.057
1300017J02Rik	0.079
1300018J18Rik	7.193
1500004A13Rik	8.703
1500009C09Rik	0
1500009L16Rik	0.09
1500011B03Rik	6.255
1500011K16Rik	4.121
1500012F01Rik	37.397
1500015A07Rik	3.504
1500015O10Rik	1.455
1500017E21Rik	1.421
1500032L24Rik	21.002
1600002H07Rik	7.374
1600002K03Rik	4.796
1600012H06Rik	10.067
1600014C10Rik	1.772
1600014K23Rik	0.043
1600015I10Rik	0.058
1600016N20Rik	0.174
1600029D21Rik	1.108
1600029I14Rik	1.454
1600029O15Rik	2.817
1700001C02Rik	0.162
1700001C19Rik	0.18
1700001F09Rik	0.285
1700001G17Rik	1.211
1700001J03Rik	0.138
1700001J11Rik	1.003
1700001K19Rik	2.37
1700001K23Rik	1.986
1700001L05Rik	1.11
1700001L19Rik	0.119
1700001O22Rik	0.234
1700001P01Rik	7.017
1700003E16Rik	0.187
1700003F12Rik	2.987
1700003G18Rik	0.058
1700003H04Rik	0
1700003M02Rik	0.106
1700006A11Rik	0.057
1700006E09Rik	0.051
1700007B14Rik	0.135
1700007G11Rik	0.038
1700007K09Rik	1.168
1700007K13Rik	0.312
1700008A04Rik	0.059
1700008F21Rik	0.447
1700008I05Rik	0.141
1700008J07Rik	4.84
1700008O03Rik	0.197
1700008P02Rik	0.046
1700009J07Rik	0
1700009N14Rik	0.256
1700009P17Rik	0.764
1700010B08Rik	0.721
1700010D01Rik	0.647
1700010I14Rik	0.071
1700011A15Rik	1.192
1700011E24Rik	1.229
1700011H14Rik	0.185
1700011I03Rik	0.441
1700011L22Rik	0.147
1700012A03Rik	0.05
1700012B07Rik	0.16
1700012B09Rik	0.133
1700012B15Rik	12.711
1700012D14Rik	1.231
1700012L04Rik	0.479
1700012P22Rik	0.185
1700013D24Rik	0
1700013F07Rik	0.121
1700013G24Rik	0.035
1700013H16Rik	0
1700015E13Rik	0.302
1700015F17Rik	0.213
1700016C15Rik	1.39
1700016D06Rik	1.705
1700016H13Rik	0.148
1700016K19Rik	0.234
1700017B05Rik	11.543
1700017D01Rik	0.451
1700017N19Rik	0.064
1700018A04Rik	0.471
1700018A14Rik	0.101
1700018B08Rik	0.265
1700018B24Rik	0.062
1700018C11Rik	0.107
1700018F24Rik	0.192
1700018L02Rik	1.9
1700019A02Rik	0.057
1700019B03Rik	0.267
1700019D03Rik	0.159
1700019G17Rik	0.043
1700019L03Rik	16.563
1700019M22Rik	0
1700019N19Rik	0.039
1700019O17Rik	0.125
1700020A23Rik	2.842
1700020D05Rik	0.81
1700020I14Rik	16.582
1700020L24Rik	1.272
1700020N01Rik	0.034
1700020N18Rik	0.263
1700021F05Rik	9.952
1700021F07Rik	0.224
1700021K19Rik	6.408
1700022A21Rik	0.149
1700022I11Rik	2.09
1700022P22Rik	0.252
1700023A16Rik	0.142
1700023E05Rik	0.085
1700024G13Rik	0
1700024P04Rik	0
1700024P16Rik	2.346
1700025C18Rik	0.204
1700025E21Rik	0.356
1700025F22Rik	0
1700025G04Rik	4.273
1700026D08Rik	0.269
1700026D11Rik	0.294
1700026L06Rik	0.833
1700028B04Rik	0.065
1700028J19Rik	0.484
1700028K03Rik	2.958
1700028M03Rik	0.153
1700028P14Rik	0
1700029F12Rik	0.215
1700029H14Rik	0.553
1700029I15Rik	1.676
1700029J07Rik	1.399
1700029M20Rik	0.05
1700029P11Rik	0.106
1700030C10Rik	1.582
1700030F18Rik	0.058
1700030J22Rik	0.318
1700030K09Rik	7.109
1700031F05Rik	0.053
1700031M16Rik	0.182
1700034E13Rik	0.158
1700034F02Rik	0.364
1700034H15Rik	0.743
1700034I23Rik	0.52
1700034J05Rik	8.29
1700034O15Rik	0.097
1700037C18Rik	2.486
1700037H04Rik	14.407
1700039E15Rik	0.019
1700040L02Rik	0.058
1700041C23Rik	0
1700042B14Rik	0.102
1700042G07Rik	0
1700044K03Rik	0.286
1700045I19Rik	0.121
1700047I17Rik2	11.652
1700047M11Rik	0.161
1700048O20Rik	7.287
1700049E15Rik	0.078
1700049G17Rik	1.098
1700049L16Rik	0.045
1700052I22Rik	0
1700052K11Rik	3.793
1700052N19Rik	7.435
1700054K19Rik	0
1700054O13Rik	0.065
1700056E22Rik	0.52
1700057G04Rik	0.339
1700058G18Rik	0.095
1700060C20Rik	0.061
